Name,Father's Name,Roll Number,Class,City
Nadir Ali Khan,Irshad Ali,1,12th,Sukkur
Ahmed Khalid,Khalid Khan,2,12th,Karachi
Fatima Sheikh,Sheikh Ali,3,11th,Lahore
Mohammed Bilal,Bilal Siddiq,4,11th,Islamabad
Sara Ahmed,Ahmed Khan,5,10th,Rawalpindi
Zain Ali,Ali Rehman,6,10th,Multan
Ayesha Khan,Khan Tariq,7,9th,Peshawar
Hamza Iqbal,Iqbal Ahmed,8,9th,Quetta
Hassan Ali,Ali Javed,9,8th,Faisalabad
Maryam Khan,Khan Zafar,10,8th,Sialkot
Usman Tariq,Tariq Ahmed,11,7th,Hyderabad
Ibrahim Siddiq,Siddiq Rehman,12,7th,Gujranwala
Ali Haider,Haider Khan,13,12th,Sukkur
Zainab Khatoon,Abdul Khaliq,14,11th,Sukkur
Janzeb,Riaz Hussain,15,14th,Sukkur
